feature,importance
num__Fertilizer_Used,0.45631505644830156
num__Rainfall,0.30381751204957497
num__Soil_Moisture,0.1468975994305358
num__N,0.03180201295817744
num__Wind_Speed,0.025951034828318207
num__Soil_pH,0.023852761561389865
num__K,0.011364022723702079
num__P,0.0
num__Organic_Carbon,0.0
num__Temperature,0.0
num__Sunlight_Hours,0.0
num__Humidity,0.0
num__Altitude,0.0
num__Pesticide_Used,0.0
cat__Soil_Type_Clay,0.0
cat__Soil_Type_Loamy,0.0
cat__Soil_Type_Sandy,0.0
cat__Soil_Type_Silt,0.0
cat__Region_Central,0.0
cat__Region_East,0.0
cat__Region_North,0.0
cat__Region_South,0.0
cat__Region_West,0.0
cat__Season_Kharif,0.0
cat__Season_Rabi,0.0
cat__Season_Zaid,0.0
cat__Irrigation_Type_Canal,0.0
cat__Irrigation_Type_Drip,0.0
cat__Irrigation_Type_Rainfed,0.0
cat__Irrigation_Type_Sprinkler,0.0
